LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,FACILITYID,Shape_Area,AREA,PERCENTAGE,...1,Collected Date,HSN,Fraction,Sample Type,Composite Start Time,Composite End Time,Stormflow Volume -cf,"2,4'-DDD - ng/L","2,4'-DDE - ng/L","2,4'-DDT - ng/L","4,4'-DDD - ng/L","4,4'-DDE - ng/L","4,4'-DDT - ng/L",Acenaphthene - ng/L,Acenaphthylene - ng/L,Aldrin - ng/L,Anthracene - ng/L,Azinphos Methyl - ng/L,Benz[a]anthracene - ng/L,Benzo[a]pyrene - ng/L,Benzo[b]fluoranthene - ng/L,"Benzo[g,h,i]perylene - ng/L",Benzo[k]fluoranthene - ng/L,BHC-alpha - ng/L,BHC-beta - ng/L,BHC-delta - ng/L,BHC-gamma - ng/L,Biphenyl - ng/L,Bolstar (Sulprofos) - ng/L,Chlordane-alpha - ng/L,Chlordane-gamma - ng/L,Chlorpyrifos - ng/L,Chrysene - ng/L,Demeton - ng/L,Diazinon - ng/L,"Dibenz[a,h]anthracene - ng/L",Dibenzothiophene - ng/L,Dichlorvos - ng/L,Dieldrin - ng/L,Dimethoate - ng/L,Disulfoton - ng/L,Endosulfan-I - ng/L,Endosulfan-II - ng/L,Endosulfan Sulfate - ng/L,Endrin - ng/L,Endrin Aldehyde - ng/L,Ethoprop (Ethoprofos) - ng/L,Ethyl Parathion - ng/L,Fenchlorphos (Ronnel) - ng/L,Fensulfothion - ng/L,Fenthion - ng/L,Fluoranthene - ng/L,Fluorene - ng/L,Heptachlor - ng/L,Heptachlor Epoxide - ng/L,"Indeno[1,2,3-cd]pyrene - ng/L",Malathion - ng/L,Merphos - ng/L,Methoxychlor - ng/L,Methyl Parathion - ng/L,Mevinphos (Phosdrin) - ng/L,Mirex - ng/L,Naphthalene - ng/L,Phenanthrene - ng/L,Phorate - ng/L,Pyrene - ng/L,Tetrachlorvinphos (Stirofos) - ng/L,Tokuthion (Prothiofos) - ng/L,Toxaphene - ng/L,trans-Nonachlor - ng/L,Trichloronate - ng/L,"Arsenic, Total - ug/L","Cadmium, Total - ug/L","Calcium, Total","Chromium, Total - ug/L","Copper, Total - ug/L",Dissolved Organic Carbon - mg/L,"Hardness as CaCO3, Total - mg/L","Iron, Total - ug/L","Lead, Total - ug/L","Magnesium, Total - ug/L","Manganese, Total - ug/L",MBAS - mg/L,"Mercury, Total - ug/L","Nickel, Total - ug/L","Selenium, Total - ug/L","Silver, Total - ug/L","Thallium, Total - ug/L",Total Organic Carbon (TOC) - mg/L,"Zinc, Total - ug/L","Ammonia, as Nitrogen - mg/L",Chloride - mg/L,Nitrate + Nitrite as N - mg/L,"Nitrogen, Total Kjeldahl - mg/L",Orthophosphate as P - mg/L,pH,Phosphorus as PO4 - mg/L,SpecificConductivity,Sulfate - mg/L,Temperature,Total Dissolved Solids - mg/L,VSS - mg/L,TSS - mg/L,Turbidity - NTU,Enterococcus - CFU/100 mL,E. coli - CFU/100 mL,Fecal coliforms - CFU/100 mL,Total Coliforms - CFU/100 mL,TN - mg/L,Field Specific Conductivity,Field Dissolved Oxygen,Field pH,Field Temperature,Field Turbidity - NTU,...117,GlobalID_tribarea,area_acres,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,OBJECTID_outfall,GlobalID,LOCDESC,OBJECTID_hydstra,station,Rain_Gage_Total,Composite Begin,Composite End,Rain_Event_Total,RC_Event,RC_M,RC_WMA,RC_CF,na.rm,RCandCF,RC_Mcf,RC_WMAcf,RC_WMAcf_M,Stormwater Volume (acre-ft)_RC,Stormwater Volume (acre-ft)_RC_M,Stormwater Volume (acre-ft)_RC_Event,Stormwater Volume (acre-ft)_RC_Mcf,Stormwater Volume (acre-ft)_RC_WMAcf,Stormwater Volume (acre-ft)_RC_WMAcf_M
COMM,10,Commercial,business,0.486,I01-11021-1,271150.74486205017,6.224789473560227,41.431392111290535,1,2022-11-08T11:30:00Z,2568001,Total,Grab,NA,NA,0.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47000,18900,>=24000,>=98000,NA,NA,NA,NA,NA,NA,13,{771F9AE1-01EC-4A47-84FC-2F216663852D},15.02431768,2338,2338,42,1495.290188,2338,{613D317B-0A31-4B49-B4A0-85440B25AA42},VICTRA u/s P,42,LAGUNABEACH,22.4,NA,NA,NA,NA,0.46548409472929275,0.48599999999999993,NA,TRUE,NA,NA,0.1968211827875126,0.23074482493952184,5.647129010413837,13.054684373173533,NA,NA,2.2869847966735124,6.471329298760409
COMM,10,Commercial,business,0.486,I01-11021-1,271150.74486205017,6.224789473560227,41.431392111290535,2,2022-11-09T10:30:00Z,2573003,Dissolved,Composite,2022-11-07T17:00:00Z,2022-11-08T05:00:00Z,1073.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,{771F9AE1-01EC-4A47-84FC-2F216663852D},15.02431768,2338,2338,42,1495.290188,2338,{613D317B-0A31-4B49-B4A0-85440B25AA42},VICTRA u/s P,42,LAGUNABEACH,22.4,2022-11-07,2022-11-08,2.16,0.00911439443099574,0.46548409472929275,0.48599999999999993,0.01958046372410708,TRUE,0.00951610536991604,NA,0.1968211827875126,0.23074482493952184,5.647129010413837,13.054684373173533,0.25561677379859193,NA,2.2869847966735124,6.471329298760409
COMM,10,Commercial,business,0.486,I01-11021-1,271150.74486205017,6.224789473560227,41.431392111290535,3,2022-11-09T10:30:00Z,2573001,Total,Composite,2022-11-07T18:00:00Z,2022-11-08T05:00:00Z,1073.7,<2,<2,<2,<2,<2,<5,<5,<5,<5,<5,<10,J2.09,J1.42,<5,10,<5,<5,<5,<5,<5,J2.83,<4,<2,<2,<1,6.18,<2,<1,<5,5.3,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,8.5299999999999905,5.05,<5,<5,<5,<5,<2,<5,<2,<10,<5,14.2,7.29,<10,8.5,<4,<6,80.7,<2,<2,1.8,0.45,69,1.1,45,NA,345,240,1.1000000000000001,41.9,20,0.16,<0.05,2.8,4.3,<0.2,<0.2,13,45,<0.1,300,1.3,1.1,H0.4,H7.24,1.5,1600,150,H21.3,890,<10,8.6,4.4,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,13,{771F9AE1-01EC-4A47-84FC-2F216663852D},15.02431768,2338,2338,42,1495.290188,2338,{613D317B-0A31-4B49-B4A0-85440B25AA42},VICTRA u/s P,42,LAGUNABEACH,22.4,2022-11-07,2022-11-08,2.16,0.00911439443099574,0.46548409472929275,0.48599999999999993,0.01958046372410708,TRUE,0.00951610536991604,NA,0.1968211827875126,0.23074482493952184,5.647129010413837,13.054684373173533,0.25561677379859193,NA,2.2869847966735124,6.471329298760409
COMM,10,Commercial,business,0.486,J01-9992-1 (J01P27),6503076.86257993,149.2906996089398,26.955488527596845,10,2022-11-08T10:01:00Z,2570003,Total,Grab,NA,NA,0.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72000,10000,16000,>=108000,NA,NA,NA,NA,NA,NA,367,{62405ECA-C5C8-487E-B695-4FCC395FFA58},553.84107572999994,11,11,29,9036.131335,11,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},J01P27; Woodfield Park,29,SULPHURCREEK,26.64,NA,NA,NA,NA,0.43090185850815593,0.48599999999999993,NA,TRUE,NA,NA,0.1968211827875126,0.2158617833511241,161.07272162207732,529.8055504474736,NA,NA,65.23153000917905,265.40793150640576
COMM,10,Commercial,business,0.486,J01-9992-1 (J01P27),6503076.86257993,149.2906996089398,26.955488527596845,11,2022-11-08T12:46:00Z,2572007,Dissolved,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,771517.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,0.97,NA,1.3,12,NA,NA,26,<0.2,NA,14,NA,<0.05,5.5,12,<0.2,<0.2,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,{62405ECA-C5C8-487E-B695-4FCC395FFA58},553.84107572999994,11,11,29,9036.131335,11,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},J01P27; Woodfield Park,29,SULPHURCREEK,26.64,2022-11-07,2022-11-08,3.54,0.10840535406298947,0.43090185850815593,0.48599999999999993,0.25157782897085745,TRUE,0.1222668248798367,NA,0.1968211827875126,0.2158617833511241,161.07272162207732,529.8055504474736,133.2873301582855,NA,65.23153000917905,265.40793150640576
COMM,10,Commercial,business,0.486,J01-9992-1 (J01P27),6503076.86257993,149.2906996089398,26.955488527596845,12,2022-11-08T12:46:00Z,2572003,Total,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,771517.5,<2,<2,<2,<2,<2,<5,<5,<5,<5,<5,<10,<5,J3.89,<5,7.71,<5,<5,<5,<5,<5,J3.14,<4,<2,<2,<1,5.92,<2,<1,<5,7.57,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,<20,<4,<2,<4,J4.21,J2.67,<5,<5,<5,<5,<2,<5,<2,<10,<5,7.75,J2.86,<10,8.8800000000000008,<4,<6,65.7,<2,<2,5.2,1.1000000000000001,82.4,3.4,14,12,302,1100,0.66,23.4,27,9.9000000000000005E-2,<0.05,7.2,12,<0.2,<0.2,12,82,0.18,150,5.3,1.4,0.43,H7.38,1.8,1200,200,H20.9,630,<10,37,22,NA,NA,NA,NA,6.7,NA,NA,NA,NA,NA,367,{62405ECA-C5C8-487E-B695-4FCC395FFA58},553.84107572999994,11,11,29,9036.131335,11,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},J01P27; Woodfield Park,29,SULPHURCREEK,26.64,2022-11-07,2022-11-08,3.54,0.10840535406298947,0.43090185850815593,0.48599999999999993,0.25157782897085745,TRUE,0.1222668248798367,NA,0.1968211827875126,0.2158617833511241,161.07272162207732,529.8055504474736,133.2873301582855,NA,65.23153000917905,265.40793150640576
COMM,10,Commercial,business,0.486,J03-9216-2,4378781.725556178,100.52339854764983,8.949039910470443,13,2022-12-12T11:57:00Z,2612014,Dissolved,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,859135.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.86,NA,0.87,8.8,NA,NA,120,0.21,NA,47,NA,<0.05,5.8,1.4,<0.2,<0.2,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,{937976FA-29DD-484B-8AA4-9F81D9CFC877},1123.28596907,495,495,29,8071.272419,495,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},J03P01in; 8x10 box channel in Crown Valley Park,29,SULPHURCREEK,26.64,2022-12-11,2022-12-12,3.48,0.060546000699677825,0.3713237849421887,0.486,0.16305446393396053,TRUE,0.07924446947190482,NA,0.1968211827875126,0.20015612018246,108.45670516103036,925.9682106887094,150.98325021373614,NA,43.922997923931106,499.1282863622701
COMM,10,Commercial,business,0.486,J03-9216-2,4378781.725556178,100.52339854764983,8.949039910470443,14,2022-12-12T11:57:00Z,2612004,Total,Grab,NA,NA,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35000,>=11600,>=17400,>=104000,NA,NA,NA,NA,NA,NA,81,{937976FA-29DD-484B-8AA4-9F81D9CFC877},1123.28596907,495,495,29,8071.272419,495,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},J03P01in; 8x10 box channel in Crown Valley Park,29,SULPHURCREEK,26.64,NA,NA,NA,NA,0.3713237849421887,0.486,NA,TRUE,NA,NA,0.1968211827875126,0.20015612018246,108.45670516103036,925.9682106887094,NA,NA,43.922997923931106,499.1282863622701
COMM,10,Commercial,business,0.486,J03-9216-2,4378781.725556178,100.52339854764983,8.949039910470443,15,2022-12-12T11:57:00Z,2612009,Total,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,859135.5,<2,<2,<2,<2,<2,J1.1100000000000001,J3.06,<5,<5,J3.3,<10,J1.23,<5,<5,10.8,<5,<5,<5,<5,<5,J3.27,<4,<2,<2,<1,J3.85,<2,<1,<5,5.86,<6,<2,<10,<2,<5,<5,<5,<5,<5,<2,40,<4,<2,<4,11.9,J2.4300000000000002,<5,<5,7.22,15.4,<2,<5,<2,<10,<5,9.5399999999999903,14.2,<10,18.600000000000001,<4,<6,<25,<2,<2,1.5,1.4,62.9,3.3,17,8.8,258,1500,1.4,24.6,100,0.16,<0.05,8.19999999999999,1.4,<0.2,<0.2,10,65,0.24,95,1.4,1,0.25,H7.56,1.9,930,180,H18.2,550,9.6999999999999904,38,20,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,81,{937976FA-29DD-484B-8AA4-9F81D9CFC877},1123.28596907,495,495,29,8071.272419,495,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},J03P01in; 8x10 box channel in Crown Valley Park,29,SULPHURCREEK,26.64,2022-12-11,2022-12-12,3.48,0.060546000699677825,0.3713237849421887,0.486,0.16305446393396053,TRUE,0.07924446947190482,NA,0.1968211827875126,0.20015612018246,108.45670516103036,925.9682106887094,150.98325021373614,NA,43.922997923931106,499.1282863622701
COMM,10,Commercial,business,0.486,J07-9109-4 (J07P02),1382206.1909578256,31.73121487142278,8.034722212273966,16,2022-11-08T09:17:00Z,2570002,Total,Grab,NA,NA,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19600,7500,6700,>=38000,NA,NA,NA,NA,NA,NA,337,{03BDF6DE-AEFE-4B0B-B433-05D6CB603581},394.92574829,299,299,30,12630.26776,299,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},J07P02,30,ELTORO,27.13,NA,NA,NA,NA,0.3981258747605368,0.486,NA,TRUE,NA,NA,0.1968211827875126,0.22518069664130003,34.86514830819885,355.4711844802226,NA,NA,14.119752526917162,201.05512862058993
