Station,Collected Date,HSN,Fraction,Sample Type,Composite Start Time,Composite End Time,Parameter,Units,Qualifier,Result,LSPC_LU_DESC,RC_Group,EMC_Group,AREA,...1,EMC
I01-11021-1,2022-11-09T10:30:00Z,2573001,Total,Composite,2022-11-07T18:00:00Z,2022-11-08T05:00:00Z,"Copper, Total",mg/L,NA,0.045,COMM,Commercial,business,6.224789473560227,14,0.0254
I01-11021-1,2022-11-09T10:30:00Z,2573001,Total,Composite,2022-11-07T18:00:00Z,2022-11-08T05:00:00Z,"Copper, Total",mg/L,NA,0.045,RESSFH,Single Family Residential,single family,2.942449315296471,32,0.0268
I01-11021-1,2022-11-09T10:30:00Z,2573001,Total,Composite,2022-11-07T18:00:00Z,2022-11-08T05:00:00Z,"Copper, Total",mg/L,NA,0.045,RESMF,Multi-family Residential,multi-family,1.2826440934655408,23,0.0243
I01-11021-1,2022-11-09T10:30:00Z,2573001,Total,Composite,2022-11-07T18:00:00Z,2022-11-08T05:00:00Z,"Copper, Total",mg/L,NA,0.045,TRANS,Streets and Roads,surface street,4.574449721384716,50,0.0306
J01-9046-2,2022-11-08T13:51:00Z,2572005,Dissolved,Composite,2022-11-07T16:38:00Z,2022-11-08T12:53:00Z,"Copper, Total",mg/L,NA,0.013,EDU,Education,business,0.28363050507424054,17,0.0137
J01-9046-2,2022-11-08T13:51:00Z,2572005,Dissolved,Composite,2022-11-07T16:38:00Z,2022-11-08T12:53:00Z,"Copper, Total",mg/L,NA,0.013,UTIL,Commercial,business,0.03532349919052375,17,0.0137
J01-9046-2,2022-11-08T13:51:00Z,2572005,Dissolved,Composite,2022-11-07T16:38:00Z,2022-11-08T12:53:00Z,"Copper, Total",mg/L,NA,0.013,RESSFH,Single Family Residential,single family,23.15635728290014,35,0.0148
J01-9046-2,2022-11-08T13:51:00Z,2572005,Dissolved,Composite,2022-11-07T16:38:00Z,2022-11-08T12:53:00Z,"Copper, Total",mg/L,NA,0.013,TRANS,Streets and Roads,surface street,10.714118803626636,53,0.0176
J01-9046-2,2022-11-08T13:51:00Z,2572005,Dissolved,Composite,2022-11-07T16:38:00Z,2022-11-08T12:53:00Z,"Copper, Total",mg/L,NA,0.013,OSDEV,Developed Open Space,developed open space,8.3367667181549,62,6e-4
J01-9046-2,2022-11-08T13:51:00Z,2572005,Dissolved,Composite,2022-11-07T16:38:00Z,2022-11-08T12:53:00Z,"Copper, Total",mg/L,NA,0.013,OSIRR,Developed Open Space,developed open space,0.00543783633871028,62,6e-4
J01-9046-2,2022-11-08T13:51:00Z,2572005,Dissolved,Composite,2022-11-07T16:38:00Z,2022-11-08T12:53:00Z,"Copper, Total",mg/L,NA,0.013,OSLOW,Open Space,open space,3.8321878558426,71,6e-4
J01-9046-2,2022-11-08T13:51:00Z,2572001,Total,Composite,2022-11-07T16:38:00Z,2022-11-08T12:53:00Z,"Copper, Total",mg/L,NA,0.031,EDU,Education,business,0.28363050507424054,14,0.0254
J01-9046-2,2022-11-08T13:51:00Z,2572001,Total,Composite,2022-11-07T16:38:00Z,2022-11-08T12:53:00Z,"Copper, Total",mg/L,NA,0.031,UTIL,Commercial,business,0.03532349919052375,14,0.0254
J01-9046-2,2022-11-08T13:51:00Z,2572001,Total,Composite,2022-11-07T16:38:00Z,2022-11-08T12:53:00Z,"Copper, Total",mg/L,NA,0.031,RESSFH,Single Family Residential,single family,23.15635728290014,32,0.0268
J01-9046-2,2022-11-08T13:51:00Z,2572001,Total,Composite,2022-11-07T16:38:00Z,2022-11-08T12:53:00Z,"Copper, Total",mg/L,NA,0.031,TRANS,Streets and Roads,surface street,10.714118803626636,50,0.0306
J01-9046-2,2022-11-08T13:51:00Z,2572001,Total,Composite,2022-11-07T16:38:00Z,2022-11-08T12:53:00Z,"Copper, Total",mg/L,NA,0.031,OSDEV,Developed Open Space,developed open space,8.3367667181549,59,0.0106
J01-9046-2,2022-11-08T13:51:00Z,2572001,Total,Composite,2022-11-07T16:38:00Z,2022-11-08T12:53:00Z,"Copper, Total",mg/L,NA,0.031,OSIRR,Developed Open Space,developed open space,0.00543783633871028,59,0.0106
J01-9046-2,2022-11-08T13:51:00Z,2572001,Total,Composite,2022-11-07T16:38:00Z,2022-11-08T12:53:00Z,"Copper, Total",mg/L,NA,0.031,OSLOW,Open Space,open space,3.8321878558426,68,0.0106
J01-9273-1,2022-12-12T08:43:00Z,2612015,Dissolved,Composite,2022-12-11T06:28:00Z,2022-12-12T03:28:00Z,"Copper, Total",mg/L,NA,0.008400000000000001,RESMF,Multi-family Residential,multi-family,28.064548269351953,26,0.0147
J01-9273-1,2022-12-12T08:43:00Z,2612015,Dissolved,Composite,2022-12-11T06:28:00Z,2022-12-12T03:28:00Z,"Copper, Total",mg/L,NA,0.008400000000000001,TRANS,Streets and Roads,surface street,2.6247441023529734,53,0.0176
J01-9273-1,2022-12-12T08:43:00Z,2612015,Dissolved,Composite,2022-12-11T06:28:00Z,2022-12-12T03:28:00Z,"Copper, Total",mg/L,NA,0.008400000000000001,OSDEV,Developed Open Space,developed open space,1.90536170454e-4,62,6e-4
J01-9273-1,2022-12-12T08:43:00Z,2612010,Total,Composite,2022-12-11T06:28:00Z,2022-12-12T03:28:00Z,"Copper, Total",mg/L,NA,0.01,RESMF,Multi-family Residential,multi-family,28.064548269351953,23,0.0243
J01-9273-1,2022-12-12T08:43:00Z,2612010,Total,Composite,2022-12-11T06:28:00Z,2022-12-12T03:28:00Z,"Copper, Total",mg/L,NA,0.01,TRANS,Streets and Roads,surface street,2.6247441023529734,50,0.0306
J01-9273-1,2022-12-12T08:43:00Z,2612010,Total,Composite,2022-12-11T06:28:00Z,2022-12-12T03:28:00Z,"Copper, Total",mg/L,NA,0.01,OSDEV,Developed Open Space,developed open space,1.90536170454e-4,59,0.0106
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572007,Dissolved,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.012,COMM,Commercial,business,149.2906996089398,17,0.0137
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572007,Dissolved,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.012,EDU,Education,business,32.569846304019855,17,0.0137
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572007,Dissolved,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.012,IND,Light Industrial,business,7.57048271248977,17,0.0137
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572007,Dissolved,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.012,UTIL,Commercial,business,4.541863728793009,17,0.0137
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572007,Dissolved,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.012,RESSFH,Single Family Residential,single family,61.203480109033634,35,0.0148
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572007,Dissolved,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.012,RESMF,Multi-family Residential,multi-family,117.05907505404332,26,0.0147
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572007,Dissolved,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.012,TRANS,Streets and Roads,surface street,92.62615702637964,53,0.0176
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572007,Dissolved,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.012,TRFWY,Freeway,highway/arterial,14.623603453000324,44,0.0324
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572007,Dissolved,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.012,OSDEV,Developed Open Space,developed open space,55.00756097054355,62,6e-4
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572007,Dissolved,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.012,OSIRR,Developed Open Space,developed open space,3.8692385531945495,62,6e-4
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572007,Dissolved,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.012,OSLOW,Open Space,open space,6.430594575874901,71,6e-4
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572007,Dissolved,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.012,OSVAC,Developed Open Space,developed open space,9.048964166668098,62,6e-4
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572003,Total,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.014,COMM,Commercial,business,149.2906996089398,14,0.0254
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572003,Total,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.014,EDU,Education,business,32.569846304019855,14,0.0254
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572003,Total,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.014,IND,Light Industrial,business,7.57048271248977,14,0.0254
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572003,Total,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.014,UTIL,Commercial,business,4.541863728793009,14,0.0254
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572003,Total,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.014,RESSFH,Single Family Residential,single family,61.203480109033634,32,0.0268
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572003,Total,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.014,RESMF,Multi-family Residential,multi-family,117.05907505404332,23,0.0243
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572003,Total,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.014,TRANS,Streets and Roads,surface street,92.62615702637964,50,0.0306
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572003,Total,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.014,TRFWY,Freeway,highway/arterial,14.623603453000324,41,0.0522
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572003,Total,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.014,OSDEV,Developed Open Space,developed open space,55.00756097054355,59,0.0106
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572003,Total,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.014,OSIRR,Developed Open Space,developed open space,3.8692385531945495,59,0.0106
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572003,Total,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.014,OSLOW,Open Space,open space,6.430594575874901,68,0.0106
J01-9992-1 (J01P27),2022-11-08T12:46:00Z,2572003,Total,Composite,2022-11-07T17:00:00Z,2022-11-08T12:30:00Z,"Copper, Total",mg/L,NA,0.014,OSVAC,Developed Open Space,developed open space,9.048964166668098,59,0.0106
J03-9216-2,2022-12-12T11:57:00Z,2612014,Dissolved,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.0088,COMM,Commercial,business,100.52339854764983,17,0.0137
J03-9216-2,2022-12-12T11:57:00Z,2612014,Dissolved,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.0088,EDU,Education,business,18.9678102553878,17,0.0137
J03-9216-2,2022-12-12T11:57:00Z,2612014,Dissolved,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.0088,UTIL,Commercial,business,2.4712993993678523,17,0.0137
J03-9216-2,2022-12-12T11:57:00Z,2612014,Dissolved,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.0088,RESSFH,Single Family Residential,single family,406.8538708259981,35,0.0148
J03-9216-2,2022-12-12T11:57:00Z,2612014,Dissolved,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.0088,RESMF,Multi-family Residential,multi-family,113.22332440656596,26,0.0147
J03-9216-2,2022-12-12T11:57:00Z,2612014,Dissolved,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.0088,TRANS,Streets and Roads,surface street,173.10218424376183,53,0.0176
J03-9216-2,2022-12-12T11:57:00Z,2612014,Dissolved,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.0088,OSDEV,Developed Open Space,developed open space,169.89739906288492,62,6e-4
J03-9216-2,2022-12-12T11:57:00Z,2612014,Dissolved,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.0088,OSIRR,Developed Open Space,developed open space,73.17995626333686,62,6e-4
J03-9216-2,2022-12-12T11:57:00Z,2612014,Dissolved,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.0088,OSLOW,Open Space,open space,57.52158751395258,71,6e-4
J03-9216-2,2022-12-12T11:57:00Z,2612014,Dissolved,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.0088,OSFOR,Open Space,open space,7.546130839827095,71,6e-4
J03-9216-2,2022-12-12T11:57:00Z,2612009,Total,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.017,COMM,Commercial,business,100.52339854764983,14,0.0254
J03-9216-2,2022-12-12T11:57:00Z,2612009,Total,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.017,EDU,Education,business,18.9678102553878,14,0.0254
J03-9216-2,2022-12-12T11:57:00Z,2612009,Total,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.017,UTIL,Commercial,business,2.4712993993678523,14,0.0254
J03-9216-2,2022-12-12T11:57:00Z,2612009,Total,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.017,RESSFH,Single Family Residential,single family,406.8538708259981,32,0.0268
J03-9216-2,2022-12-12T11:57:00Z,2612009,Total,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.017,RESMF,Multi-family Residential,multi-family,113.22332440656596,23,0.0243
J03-9216-2,2022-12-12T11:57:00Z,2612009,Total,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.017,TRANS,Streets and Roads,surface street,173.10218424376183,50,0.0306
J03-9216-2,2022-12-12T11:57:00Z,2612009,Total,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.017,OSDEV,Developed Open Space,developed open space,169.89739906288492,59,0.0106
J03-9216-2,2022-12-12T11:57:00Z,2612009,Total,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.017,OSIRR,Developed Open Space,developed open space,73.17995626333686,59,0.0106
J03-9216-2,2022-12-12T11:57:00Z,2612009,Total,Composite,2022-12-11T03:58:00Z,2022-12-12T02:58:00Z,"Copper, Total",mg/L,NA,0.017,OSLOW,Open Space,open space,57.52158751395258,68,0.0106
