Station,area_acres,station,Rain_Gage_Total,Rain_Event_Total,HSN,Fraction,Sample Type,Collected Date,Composite Begin.x,Composite End.x,Composite Start Time,Composite End Time,Composite Begin.y,Composite End.y,Stormflow Volume -cf,Stormwater Volume (acre-ft)_RC_M,RC_M,RC_Group,"2,4'-DDD","2,4'-DDE","2,4'-DDT","4,4'-DDD","4,4'-DDE","4,4'-DDT",Acenaphthene,Acenaphthylene,Aldrin,"Ammonia, as Nitrogen",Anthracene,"Arsenic, Total",Azinphos Methyl,Benz[a]anthracene,Benzo[a]pyrene,Benzo[b]fluoranthene,"Benzo[g,h,i]perylene",Benzo[k]fluoranthene,BHC-alpha,BHC-beta,BHC-delta,BHC-gamma,Biphenyl,Bolstar (Sulprofos),"Cadmium, Total",Chlordane-alpha,Chlordane-gamma,Chloride,Chlorpyrifos,"Chromium, Total",Chrysene,"Copper, Total",d10-Acenaphthene,d10-Phenanthrene,d12-Chrysene,d12-Perylene,d8-Naphthalene,Demeton,Diazinon,"Dibenz[a,h]anthracene",Dibenzothiophene,Dichlorvos,Dieldrin,Dimethoate,Dissolved Organic Carbon,Disulfoton,E. coli,Endosulfan-I,Endosulfan-II,Endosulfan Sulfate,Endrin,Endrin Aldehyde,Enterococcus,Ethoprop (Ethoprofos),Ethyl Parathion,Fecal coliforms,Fenchlorphos (Ronnel),Fensulfothion,Fenthion,Fluoranthene,Fluorene,"Hardness as CaCO3, Total",Heptachlor,Heptachlor Epoxide,"Indeno[1,2,3-cd]pyrene","Iron, Total","Lead, Total","Magnesium, Total",Malathion,"Manganese, Total",MBAS,"Mercury, Total",Merphos,Methoxychlor,Methyl Parathion,Mevinphos (Phosdrin),Mirex,Naphthalene,"Nickel, Total",Nitrate + Nitrite as N,"Nitrogen, Total Kjeldahl",Orthophosphate as P,PCB030,PCB112,PCB198,Phenanthrene,Phorate,Pyrene,"Selenium, Total","Silver, Total",Sulfate,TCMX,Temperature,Tetrachlorvinphos (Stirofos),"Thallium, Total",TN,Tokuthion (Prothiofos),Total Coliforms,Total Dissolved Solids,Total Organic Carbon (TOC),Toxaphene,TP,trans-Nonachlor,Trichloronate,TSS,VSS,"Zinc, Total",<NA>
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,NA,2568001,Total,Grab,2022-11-08T11:30:00Z,NA,NA,NA,NA,NA,NA,6.6,13.054684373173531,0.4654840947292927,Commercial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3043413370653.2964,NA,NA,NA,NA,NA,7568276636016.134,NA,NA,3864651899242.2813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15780661921905.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,NA,2568001,Total,Grab,2022-11-08T11:30:00Z,NA,NA,NA,NA,NA,NA,6.6,13.054684373173531,0.4654840947292927,Multi-family Residential,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3043413370653.2964,NA,NA,NA,NA,NA,7568276636016.134,NA,NA,3864651899242.2813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15780661921905.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,NA,2568001,Total,Grab,2022-11-08T11:30:00Z,NA,NA,NA,NA,NA,NA,6.6,13.054684373173531,0.4654840947292927,Single Family Residential,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3043413370653.2964,NA,NA,NA,NA,NA,7568276636016.134,NA,NA,3864651899242.2813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15780661921905.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,NA,2568001,Total,Grab,2022-11-08T11:30:00Z,NA,NA,NA,NA,NA,NA,6.6,13.054684373173531,0.4654840947292927,Streets and Roads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3043413370653.2964,NA,NA,NA,NA,NA,7568276636016.134,NA,NA,3864651899242.2813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15780661921905.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,2.16,2573003,Dissolved,Composite,2022-11-09T10:30:00Z,2022-11-07,2022-11-08,2022-11-07T17:00:00Z,2022-11-08T05:00:00Z,2022-11-07,2022-11-08,1073.7,13.054684373173531,0.4654840947292927,Commercial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,2.16,2573003,Dissolved,Composite,2022-11-09T10:30:00Z,2022-11-07,2022-11-08,2022-11-07T17:00:00Z,2022-11-08T05:00:00Z,2022-11-07,2022-11-08,1073.7,13.054684373173531,0.4654840947292927,Multi-family Residential,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,2.16,2573003,Dissolved,Composite,2022-11-09T10:30:00Z,2022-11-07,2022-11-08,2022-11-07T17:00:00Z,2022-11-08T05:00:00Z,2022-11-07,2022-11-08,1073.7,13.054684373173531,0.4654840947292927,Single Family Residential,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,2.16,2573003,Dissolved,Composite,2022-11-09T10:30:00Z,2022-11-07,2022-11-08,2022-11-07T17:00:00Z,2022-11-08T05:00:00Z,2022-11-07,2022-11-08,1073.7,13.054684373173531,0.4654840947292927,Streets and Roads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,2.16,2573001,Total,Composite,2022-11-09T10:30:00Z,2022-11-07,2022-11-08,2022-11-07T18:00:00Z,2022-11-08T05:00:00Z,2022-11-07,2022-11-08,1073.7,13.054684373173531,0.4654840947292927,Commercial,3.550044146907979e-5,3.550044146907979e-5,3.550044146907979e-5,3.550044146907979e-5,3.550044146907979e-5,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,1.7750220734539897,8.875110367269949e-5,0.06390079464434362,1.7750220734539897e-4,NA,NA,8.875110367269949e-5,3.5500441469079794e-4,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,NA,7.100088293815957e-5,0.015975198661085904,3.550044146907979e-5,3.550044146907979e-5,10650.132440723937,1.7750220734539894e-5,0.03905048561598778,2.1939272827891306e-4,1.5975198661085905,0.002698033551650064,0.0029110362004645426,0.0031240388492790217,0.0029110362004645426,0.0030530379663408613,3.550044146907979e-5,1.7750220734539894e-5,8.875110367269949e-5,1.8815233978612287e-4,1.0650132440723937e-4,3.550044146907979e-5,1.7750220734539897e-4,NA,3.550044146907979e-5,NA,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,NA,3.550044146907979e-5,3.5500441469079794e-4,NA,7.100088293815957e-5,3.550044146907979e-5,7.100088293815957e-5,3.0281876573125027e-4,1.792772294188529e-4,12247.652306832526,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,8.520105952579149,0.03905048561598778,1.4874684975544432,8.875110367269949e-5,0.7100088293815958,5.680070635052766,8.875110367269948e-4,3.550044146907979e-5,8.875110367269949e-5,3.550044146907979e-5,1.7750220734539897e-4,8.875110367269949e-5,5.041062688609329e-4,0.09940123611342341,46.15057390980373,39.050485615987775,NA,0.00330154105662442,0.0030175375248717817,0.0028755357589954626,2.587982183095917e-4,1.7750220734539897e-4,3.0175375248717824e-4,0.1526518983170431,0.0035500441469079793,5325.066220361969,3.550044146907979e-5,NA,7.100088293815957e-5,0.0035500441469079793,85.201059525791493,1.0650132440723937e-4,NA,31595.39290748101,461.5057390980372,0.0028648856265547397,17.37036601082074,3.550044146907979e-5,3.550044146907979e-5,305.30379663408615,177.50220734539894,1.5975198661085905,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,2.16,2573001,Total,Composite,2022-11-09T10:30:00Z,2022-11-07,2022-11-08,2022-11-07T18:00:00Z,2022-11-08T05:00:00Z,2022-11-07,2022-11-08,1073.7,13.054684373173531,0.4654840947292927,Multi-family Residential,3.550044146907979e-5,3.550044146907979e-5,3.550044146907979e-5,3.550044146907979e-5,3.550044146907979e-5,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,1.7750220734539897,8.875110367269949e-5,0.06390079464434362,1.7750220734539897e-4,NA,NA,8.875110367269949e-5,3.5500441469079794e-4,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,NA,7.100088293815957e-5,0.015975198661085904,3.550044146907979e-5,3.550044146907979e-5,10650.132440723937,1.7750220734539894e-5,0.03905048561598778,2.1939272827891306e-4,1.5975198661085905,0.002698033551650064,0.0029110362004645426,0.0031240388492790217,0.0029110362004645426,0.0030530379663408613,3.550044146907979e-5,1.7750220734539894e-5,8.875110367269949e-5,1.8815233978612287e-4,1.0650132440723937e-4,3.550044146907979e-5,1.7750220734539897e-4,NA,3.550044146907979e-5,NA,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,NA,3.550044146907979e-5,3.5500441469079794e-4,NA,7.100088293815957e-5,3.550044146907979e-5,7.100088293815957e-5,3.0281876573125027e-4,1.792772294188529e-4,12247.652306832526,8.875110367269949e-5,8.875110367269949e-5,8.875110367269949e-5,8.520105952579149,0.03905048561598778,1.4874684975544432,8.875110367269949e-5,0.7100088293815958,5.680070635052766,8.875110367269948e-4,3.550044146907979e-5,8.875110367269949e-5,3.550044146907979e-5,1.7750220734539897e-4,8.875110367269949e-5,5.041062688609329e-4,0.09940123611342341,46.15057390980373,39.050485615987775,NA,0.00330154105662442,0.0030175375248717817,0.0028755357589954626,2.587982183095917e-4,1.7750220734539897e-4,3.0175375248717824e-4,0.1526518983170431,0.0035500441469079793,5325.066220361969,3.550044146907979e-5,NA,7.100088293815957e-5,0.0035500441469079793,85.201059525791493,1.0650132440723937e-4,NA,31595.39290748101,461.5057390980372,0.0028648856265547397,17.37036601082074,3.550044146907979e-5,3.550044146907979e-5,305.30379663408615,177.50220734539894,1.5975198661085905,NA
