Station,area_acres,station,Rain_Gage_Total,Rain_Event_Total,HSN,Fraction,Sample Type,Collected Date,Composite Begin.x,Composite End.x,Composite Start Time,Composite End Time,Composite Begin.y,Composite End.y,Stormflow Volume -cf,Stormwater Volume (acre-ft)_RCandCF,RC_Group,"2,4'-DDD","2,4'-DDE","2,4'-DDT","4,4'-DDD","4,4'-DDE","4,4'-DDT",Acenaphthene,Acenaphthylene,Aldrin,"Ammonia, as Nitrogen",Anthracene,"Arsenic, Total",Azinphos Methyl,Benz[a]anthracene,Benzo[a]pyrene,Benzo[b]fluoranthene,"Benzo[g,h,i]perylene",Benzo[k]fluoranthene,BHC-alpha,BHC-beta,BHC-delta,BHC-gamma,Biphenyl,Bolstar (Sulprofos),"Cadmium, Total",Chlordane-alpha,Chlordane-gamma,Chloride,Chlorpyrifos,"Chromium, Total",Chrysene,"Copper, Total",d10-Acenaphthene,d10-Phenanthrene,d12-Chrysene,d12-Perylene,d8-Naphthalene,Demeton,Diazinon,"Dibenz[a,h]anthracene",Dibenzothiophene,Dichlorvos,Dieldrin,Dimethoate,Dissolved Organic Carbon,Disulfoton,E. coli,Endosulfan-I,Endosulfan-II,Endosulfan Sulfate,Endrin,Endrin Aldehyde,Enterococcus,Ethoprop (Ethoprofos),Ethyl Parathion,Fecal coliforms,Fenchlorphos (Ronnel),Fensulfothion,Fenthion,Fluoranthene,Fluorene,"Hardness as CaCO3, Total",Heptachlor,Heptachlor Epoxide,"Indeno[1,2,3-cd]pyrene","Iron, Total","Lead, Total","Magnesium, Total",Malathion,"Manganese, Total",MBAS,"Mercury, Total",Merphos,Methoxychlor,Methyl Parathion,Mevinphos (Phosdrin),Mirex,Naphthalene,"Nickel, Total",Nitrate + Nitrite as N,"Nitrogen, Total Kjeldahl",Orthophosphate as P,PCB030,PCB112,PCB198,Phenanthrene,Phorate,Pyrene,"Selenium, Total","Silver, Total",Sulfate,TCMX,Temperature,Tetrachlorvinphos (Stirofos),"Thallium, Total",TN,Tokuthion (Prothiofos),Total Coliforms,Total Dissolved Solids,Total Organic Carbon (TOC),Toxaphene,TP,trans-Nonachlor,Trichloronate,TSS,VSS,"Zinc, Total",<NA>
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,NA,2568001,Total,Grab,2022-11-08T11:30:00Z,NA,NA,NA,NA,NA,NA,6.6,NA,Commercial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,NA,2568001,Total,Grab,2022-11-08T11:30:00Z,NA,NA,NA,NA,NA,NA,6.6,NA,Multi-family Residential,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,NA,2568001,Total,Grab,2022-11-08T11:30:00Z,NA,NA,NA,NA,NA,NA,6.6,NA,Single Family Residential,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,NA,2568001,Total,Grab,2022-11-08T11:30:00Z,NA,NA,NA,NA,NA,NA,6.6,NA,Streets and Roads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,2.16,2573003,Dissolved,Composite,2022-11-09T10:30:00Z,2022-11-07,2022-11-08,2022-11-07T17:00:00Z,2022-11-08T05:00:00Z,2022-11-07,2022-11-08,1073.7,0.02273723494816756,Multi-family Residential,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,2.16,2573003,Dissolved,Composite,2022-11-09T10:30:00Z,2022-11-07,2022-11-08,2022-11-07T17:00:00Z,2022-11-08T05:00:00Z,2022-11-07,2022-11-08,1073.7,0.04355657869110882,Single Family Residential,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,2.16,2573003,Dissolved,Composite,2022-11-09T10:30:00Z,2022-11-07,2022-11-08,2022-11-07T17:00:00Z,2022-11-08T05:00:00Z,2022-11-07,2022-11-08,1073.7,0.07874980933058429,Streets and Roads,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,2.16,2573003,Dissolved,Composite,2022-11-09T10:30:00Z,2022-11-07,2022-11-08,2022-11-07T17:00:00Z,2022-11-08T05:00:00Z,2022-11-07,2022-11-08,1073.7,0.11057340473376084,Commercial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,2.16,2573001,Total,Composite,2022-11-09T10:30:00Z,2022-11-07,2022-11-08,2022-11-07T18:00:00Z,2022-11-08T05:00:00Z,2022-11-07,2022-11-08,1073.7,0.02273723494816756,Multi-family Residential,1.737789492088385e-7,1.737789492088385e-7,1.737789492088385e-7,1.737789492088385e-7,1.737789492088385e-7,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,0.008688947460441927,4.3444737302209626e-7,3.1280210857590927e-4,8.688947460441925e-7,NA,NA,4.3444737302209626e-7,1.737789492088385e-6,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,NA,3.47557898417677e-7,7.820052714397732e-5,1.737789492088385e-7,1.737789492088385e-7,52.13368476265154,8.688947460441925e-8,1.9115684412972236e-4,1.0739539061106217e-6,0.007820052714397733,1.3207200139871726e-5,1.4249873835124757e-5,1.529254753037779e-5,1.4249873835124757e-5,1.4944989631960111e-5,1.737789492088385e-7,8.688947460441925e-8,4.3444737302209626e-7,9.210284308068439e-7,5.213368476265154e-7,1.737789492088385e-7,8.688947460441925e-7,NA,1.737789492088385e-7,NA,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,NA,1.737789492088385e-7,1.737789492088385e-6,NA,3.47557898417677e-7,1.737789492088385e-7,3.47557898417677e-7,1.4823344367513906e-6,8.775836935046343e-7,59.95373747704928,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,0.041706947810121235,1.9115684412972236e-4,0.0072813379718503326,4.3444737302209626e-7,0.0034755789841767696,0.027804631873414157,4.344473730220963e-6,1.737789492088385e-7,4.3444737302209626e-7,1.737789492088385e-7,8.688947460441925e-7,4.3444737302209626e-7,2.467661078765506e-6,4.865810577847478e-4,0.22591263397149006,0.19115684412972234,NA,1.6161442276421978e-5,1.477121068275127e-5,1.4076094885915916e-5,1.2668485397324324e-6,8.688947460441925e-7,1.4771210682751273e-6,7.472494815980055e-4,1.737789492088385e-5,26.06684238132577,1.737789492088385e-7,NA,3.47557898417677e-7,1.737789492088385e-5,0.4170694781012123,5.213368476265154e-7,NA,154.66326479586624,2.2591263397149004,1.4023961201153264e-5,0.08503003984788467,1.737789492088385e-7,1.737789492088385e-7,1.4944989631960108,0.8688947460441925,0.007820052714397733,NA
I01-11021-1,15.02431768,LAGUNABEACH,22.400000000000002,2.16,2573001,Total,Composite,2022-11-09T10:30:00Z,2022-11-07,2022-11-08,2022-11-07T18:00:00Z,2022-11-08T05:00:00Z,2022-11-07,2022-11-08,1073.7,0.04355657869110882,Single Family Residential,1.737789492088385e-7,1.737789492088385e-7,1.737789492088385e-7,1.737789492088385e-7,1.737789492088385e-7,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,0.008688947460441927,4.3444737302209626e-7,3.1280210857590927e-4,8.688947460441925e-7,NA,NA,4.3444737302209626e-7,1.737789492088385e-6,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,NA,3.47557898417677e-7,7.820052714397732e-5,1.737789492088385e-7,1.737789492088385e-7,52.13368476265154,8.688947460441925e-8,1.9115684412972236e-4,1.0739539061106217e-6,0.007820052714397733,1.3207200139871726e-5,1.4249873835124757e-5,1.529254753037779e-5,1.4249873835124757e-5,1.4944989631960111e-5,1.737789492088385e-7,8.688947460441925e-8,4.3444737302209626e-7,9.210284308068439e-7,5.213368476265154e-7,1.737789492088385e-7,8.688947460441925e-7,NA,1.737789492088385e-7,NA,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,NA,1.737789492088385e-7,1.737789492088385e-6,NA,3.47557898417677e-7,1.737789492088385e-7,3.47557898417677e-7,1.4823344367513906e-6,8.775836935046343e-7,59.95373747704928,4.3444737302209626e-7,4.3444737302209626e-7,4.3444737302209626e-7,0.041706947810121235,1.9115684412972236e-4,0.0072813379718503326,4.3444737302209626e-7,0.0034755789841767696,0.027804631873414157,4.344473730220963e-6,1.737789492088385e-7,4.3444737302209626e-7,1.737789492088385e-7,8.688947460441925e-7,4.3444737302209626e-7,2.467661078765506e-6,4.865810577847478e-4,0.22591263397149006,0.19115684412972234,NA,1.6161442276421978e-5,1.477121068275127e-5,1.4076094885915916e-5,1.2668485397324324e-6,8.688947460441925e-7,1.4771210682751273e-6,7.472494815980055e-4,1.737789492088385e-5,26.06684238132577,1.737789492088385e-7,NA,3.47557898417677e-7,1.737789492088385e-5,0.4170694781012123,5.213368476265154e-7,NA,154.66326479586624,2.2591263397149004,1.4023961201153264e-5,0.08503003984788467,1.737789492088385e-7,1.737789492088385e-7,1.4944989631960108,0.8688947460441925,0.007820052714397733,NA
