globalid,facilityid,area_acres
{54B5F963-7586-4EF9-888D-D2950B7EBC0A},DP02-12131-1,10.3281837
{1A99B601-7F03-40A7-BE2A-B55965D0F518},DP04-12015-1,178.90214373
{0FB5AF94-6BE1-45FC-BD19-03FCBA3B1A31},DP05-12190-1,50.9838026
{2A49F992-B477-4EEF-AB6B-1F59DF5F1FDD},DP06-12106-1,66.54528569
{64C00461-CB8D-43B0-98B9-D727A44A0C97},I00-11437-1,605.19208238
{7B28D60E-3E6A-4BCC-A9E4-0F183253D8E2},I00-11453-1,342.08954194
{33451BAD-71CF-4456-A446-349A0BE0688F},I00-11468-1,223.33679991
{40EC6E25-9920-4D93-A7ED-E4A50EF8C49B},I00-11518-1,645.16066542
{1899D1CC-24D1-403E-8E92-3F19DB52198B},I01-11010-1,12.1490758
{B966F036-0E3A-42A3-8AAC-352019C2A107},I01-11010-2,21.92632483
{3109A044-5960-4E48-9FD3-5CC128814802},I01-11015-1,2.53145991
{E8050295-C6A8-494E-BA64-8E3402C049DA},I01-11015-2,245.37795985
{771F9AE1-01EC-4A47-84FC-2F216663852D},I01-11021-1,15.02431768
{43861096-F820-41CB-8427-FA32D70001E3},I01-11023-1,4.24010907
{0903314E-9BFD-43F1-AB0E-DCCDF6B255CA},I01-11023-2,16.81555601
{3845F50F-BE59-4A51-BE8B-143B76282ABA},I01-11023-3,36.18156164
{A22CF8BF-B661-4AB9-937C-145018AF5ABA},I01-11023-4,6.44034236
{BEE1F135-BE00-4544-825F-271D6648262D},I01-11023-5,12.44670623
{DEF5A75B-EE4E-449F-932B-96052DCA52CB},I01-11023-6,39.55859184
{41F5397E-C275-4DD2-9757-7379EDA6A171},I01-11059-1,282.44365092
{3EDAE40D-654E-4999-B506-CEB79C8AB337},I01-11059-2,9.28778099
{D1EF9E28-6ADD-4767-892B-D047C0A5814F},I01-11077-1,118.05411389
{3E911746-612C-486E-BEF8-2DFED931907C},I01-11093-1,87.63278849
{191552D6-D455-4BA5-BCF4-ADFD30DC0237},I01-11093-2,296.78090067
{B3E7EA28-F547-4D00-9604-062A56FC2343},I01-11216-1,231.31390007
{66EB3FBD-F95C-4228-B494-57DAA9287D6B},I01-11216-3,4.87418855
{26AF41DB-E22D-404E-85CD-B6D99E6625D3},I01-11216-4,66.5562155
{66BCB989-66B4-4B75-AC28-2F95E0F05CA8},I01-11217-1,35.66443538
{4CE5C748-AD4E-4AEE-9CD2-954FB50A5138},I01-11343-1,33.3408069
{DA1F4460-FD92-47BF-92CD-85EC40441121},I01-11343-2,46.81104081
{4BFBE6C0-81B4-4473-95A9-E78EACE74B62},I01-11487-1,5606.22157779
{476EC098-0D7F-4A9B-9375-277B463E6FBB},I01-11487-2,134.7247304
{B66F986D-F19C-463E-9943-BB6CB63FFA3F},I01-11502-1,25.92502892
{48F389AA-1AB1-4124-886A-E0AD00E6DFC5},I01-11502-2,11.59838159
{B914ED91-A0EE-4E77-9A74-18FCCFDF63E8},I01-11503-1,2.33416234
{9F111B5A-EC72-441B-BD25-8CEB31E409B7},I01-11503-2,0.73356364
{3055F443-0F80-4F26-B81C-EF82EE3AB57F},I01-11503-3,90.98036764
{42FE5909-73A8-4B37-8604-6314064022E6},J01-10004-1,479.88775953
{73C4B7E7-01B8-4FDE-9E13-7CAE46E69C08},J01-10004-2,11.76218814
{500935D0-21E3-4D15-8F65-8902EA650520},J01-10006-1,23.20308578
{BA71FF12-C8E5-4BA8-9914-76B9C5DE9C23},J01-10012-3,31.14614857
{F67F86E9-5E72-4CE5-B8A6-5D6AED823687},J01-10017-1 (J01TBN4),17.42256719
{07970AE5-1B22-4891-9ECC-2A320C4EEDCF},J01-10018-1 (J01TBN5),3.23424975
{548A2F6C-54AB-4305-B727-9C9533B65AB2},J01-10019-1 (J01P33),72.93906351
{C740AF66-E6CF-4D61-9E17-9A77909B0275},J01-10041-2,374.69432682
{2A0C25B6-C69C-4EB4-890D-07F56D99725A},J01-9005-1 (J03P05),127.79044152
{417195A9-8887-4DB4-A900-8C57F89EDE38},J01-9005-3,201.89063791
{2BD87D28-FA1D-4049-A34E-190F2044F3B0},J01-9005-6,5.956147
{C9020375-87C0-473E-BAE6-BD728E2CEE65},J01-9007-1,145.61257767
{0889E65F-E406-4573-9352-8BFAA86E9CA9},J01-9008-1 (J01P30),211.57209037
{9E5FC4A3-A91F-4A17-AABF-159149EA54AC},J01-9031-1,298.95942316
{B3BAF91B-EE73-4FE9-82DB-393521B9378E},J01-9040-1,146.1265793
{0D1B655B-7CE9-4D1F-9758-D0A85CE72830},J01-9046-1,65.72077069
{F3D1AC6C-A7BE-4D84-8128-FB26B4E5B7D8},J01-9046-2,46.36377902
{21285B3B-CA56-4A42-9970-4F3C0B2C9FFE},J01-9046-3,15.52791748
{DB01C61F-4B2E-4773-A291-811A0B209D88},J01-9048-1,29.95727899
{443BF20A-3F21-42BE-A8F1-C71742983966},J01-9058-1,2.33833105
{1C822749-11E7-427B-95C1-97EA863AD9D5},J01-9066-1,82.12170635
{DAB73224-5A4E-4198-BD92-D053A16664F2},J01-9066-2 (J01P03),420.34930926
{AF504CCE-5FF6-4C3D-86E3-6FF2634AA714},J01-9082-2,124.66076066
{EA74CFD4-B3C6-43E4-B014-2CA160523B39},J01-9082-3,124.66076066
{D08175EC-3638-42BD-8150-7C6283DE37E0},J01-9082-4,124.66076066
{9B5E9774-A868-4C1A-ACF6-C8C0003C3B23},J01-9082-5 (J02P08),287.71100608
{025013C1-77AC-4E88-B360-C6DF65D69B1C},J01-9096-1,20.26899575
{7332515F-0FA2-4B59-9B40-87CA3221B553},J07-9109-3,22.85140678
{5734A470-16DA-4C6F-AA61-DE0460519C9E},J01-9144-1 (J01P23),175.4581519
{DF8F1B7D-C266-4D77-8B83-8C47183C3C87},J01-9144-2,1.86554194
{ABFD21A9-4715-47BC-B040-646024F6E8D8},J01-9144-3,4.09530093
{7C6E22B2-F5EA-4B6D-8719-DA1148FECB75},J01-9144-4 (J01P26),193.49295991
{C73D4C00-85C5-41EE-B902-5B8B83A70474},J01-9224-1,222.46726525
{B5E9F5D4-D7BB-4B4E-A283-170C219E053D},J01-9224-2,222.46726525
{E1771055-96C8-478F-ACB1-96B8B02A07B0},J01-9259-3,140.75505759
{ABE6B00F-F425-4EF2-9EB9-D56A390D33C9},J01-9264-1,680.93059513
{3BBBEF3F-4D6B-4BDD-A1B2-4A311F3CB981},J01-9273-1,30.68945533
{BE325CC4-8690-4CA5-B134-6FFDEC4C18D4},J01-9275-1,27.09901317
{3994694D-F327-4786-8A15-870A43895B7A},J01-9275-2,42.7322098
{DCE2A2F2-F679-4A50-81E8-E18D7A94B210},J01-9275-3,24.58244627
{92951B89-C7E6-4DE4-9647-3D8A2DC04E17},J01-9313-1,137.37665275
{99F86577-4989-413B-93CE-F52A9D060538},J01-9349-1,69.7067491
{9EA24667-4EAC-4478-8437-80C1CBFB933B},J01-9359-1 (J01P32),4.04998514
{20BAB4C5-7B37-4A6D-9E1A-28EA6C1578E4},J01-9359-2,18.07269143
{5F51144B-37B7-4E77-9ACA-B55B0166A341},J01-9364-3,167.87337148
{95A535C9-7171-42E5-B641-01885F321084},J01-9364-4,42.33257611
{4031398F-28DD-4B2E-8B88-5C927C80543B},J01-9377-1,34.4468196
{19984916-4F25-4520-8E33-254056C35682},J01-9782-1 (J01TBN3),30.80686795
{72B625B0-3863-48ED-ACBA-798B8EB13213},J01-9785-1,21.25657462
{C883850E-DAC2-44F9-9423-D0BBFD6ADEF6},J03-9199-1,777.02520604
{1A47DD19-0B49-45C2-90D2-52648D7406F6},J03-9215-1,65.12825351
{565E3E6E-A9FE-4127-8D7F-34345C9BD53B},J03-9215-2,4.07827321
{83B52D43-1725-45C2-9368-5AA26A684BCB},J03-9215-3,155.28755892
{51515D62-62A1-4919-839F-D4D5E98801C5},J03-9216-1 (J03P01),13.41168034
{937976FA-29DD-484B-8AA4-9F81D9CFC877},J03-9216-2,1123.28596907
{1FD64EFA-7898-496D-B978-BABF3F95A6F8},J03-9234-1,10.94751966
{E09A4652-7C3E-4745-A5C3-8A527180E06A},J03-9234-3,30.28373682
{CBEEEFE4-F94F-49B0-A128-C5EAE68DC883},J03-9234-5,131.49969178
{1E2E8B36-71FB-42A5-AB08-53874B7D95A3},J03-9234-6,232.09078171
{4098E37C-24E0-4451-91AF-4664C02232A6},J03-9368-1 (J03TBN1),92.34354303
{ADD53674-7780-423F-A3D8-B149A5E727F5},J03-9368-2 (J03TBN2),34.23122305
{6E823173-1E50-4D9E-9703-F16314A85CE2},J04-9249-1,1643.4542726
